Year & Month,Water Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen
2023-02,32.1,8.19,0.68,0.25,2.77,6.71
2023-03,26.65,8.15,0.795,0.235,2.72,5.18
2023-04,28.85,8.39,0.78,0.185,2.74,6.75
2023-05,29.55,8.31,0.9,0.3,2.62,5.14
2023-06,29.6,8.4,0.105,0.1,2.62,5.9
2023-07,29.55,8.32,0.19,0.1,2.7,5.88
2023-08,30.25,8.61,0.15,0.195,2.42,7.56
2023-09,30.6,8.5,0.19,0.095,2.47,6.47
2023-10,28.2,8.19,0.22,0.07,N/A,4.8
2023-11,26.5,8.01,0.42,0.08,N/A,4.95
2023-12,26.97,8.03,0.29,0.18,N/A,N/A
